Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Album,End Time,End Time (Adj),Track Uri,Unique ID,F1,Minutes Listened,Ms Played
2021,May,0,Zoe Wees,Girls Like Us - MUNA Remix,,5/27/2021 5:11:00 PM,5/27/2021 12:11:00 PM,,Zoe Wees:Girls Like Us - MUNA Remix,10319,2.8608,171648
2021,May,0,Zoe Wees,Girls Like Us - MUNA Remix,,5/27/2021 5:48:00 PM,5/27/2021 12:48:00 PM,,Zoe Wees:Girls Like Us - MUNA Remix,10325,2.8608,171648
2021,February,0,bb sway,I Found Out When the Day Had Come,,2/24/2021 4:07:00 PM,2/24/2021 11:07:00 AM,,bb sway:I Found Out When the Day Had Come,5796,2.733333333,164000
2021,March,0,bb sway,I Found Out When the Day Had Come,,3/10/2021 6:37:00 PM,3/10/2021 1:37:00 PM,,bb sway:I Found Out When the Day Had Come,6508,2.733333333,164000
2021,April,0,bdrmm,Gush,,4/25/2021 5:12:00 PM,4/25/2021 12:12:00 PM,,bdrmm:Gush,9043,3.77445,226467
2020,October,0,blink-182,First Date,,10/3/2020 7:02:00 PM,10/3/2020 2:02:00 PM,,blink-182:First Date,1101,2.858883333,171533
2021,August,0,blink-182,The Rock Show,,8/6/2021 11:12:00 PM,8/6/2021 6:12:00 PM,,blink-182:The Rock Show,15166,2.85155,171093
2021,February,0,boy pablo,hey girl,,2/22/2021 9:06:00 PM,2/22/2021 4:06:00 PM,,boy pablo:hey girl,5748,3.116666667,187000
2021,February,0,boy pablo,wachito rico,,2/17/2021 12:35:00 PM,2/17/2021 7:35:00 AM,,boy pablo:wachito rico,5547,0.02915,1749
2020,December,0,boylife,peas,,12/1/2020 4:23:00 PM,12/1/2020 11:23:00 AM,,boylife:peas,3328,3.91075,234645
2021,January,0,carobae,i don't miss u,,1/11/2021 4:30:00 PM,1/11/2021 11:30:00 AM,,carobae:i don't miss u,4503,2.981583333,178895
2021,April,0,dad sports,nrvs again,,4/23/2021 8:06:00 PM,4/23/2021 3:06:00 PM,,dad sports:nrvs again,8996,3.6434,218604
2021,April,0,dad sports,nrvs again,,4/29/2021 10:19:00 PM,4/29/2021 5:19:00 PM,,dad sports:nrvs again,9316,3.6434,218604
2020,October,0,dad sports,out 4 a breather,,10/10/2020 9:28:00 PM,10/10/2020 4:28:00 PM,,dad sports:out 4 a breather,1565,3.364283333,201857
2020,December,0,dad sports,out 4 a breather,,12/1/2020 9:17:00 PM,12/1/2020 4:17:00 PM,,dad sports:out 4 a breather,3346,3.364283333,201857
2021,January,0,dodie,Cool Girl,,1/4/2021 2:24:00 PM,1/4/2021 9:24:00 AM,,dodie:Cool Girl,4214,3.323066667,199384
2021,January,0,dodie,Cool Girl,,1/14/2021 1:08:00 PM,1/14/2021 8:08:00 AM,,dodie:Cool Girl,4625,3.323066667,199384
2021,September,0,duendita,Bury Me,,9/11/2021 3:17:00 PM,9/11/2021 10:17:00 AM,,duendita:Bury Me,16424,4.928433333,295706
2021,February,0,dvsn,Use Somebody,,2/1/2021 3:21:00 PM,2/1/2021 10:21:00 AM,,dvsn:Use Somebody,4861,0.316216667,18973
2021,January,0,ella jane,nothing else i could do,,1/20/2021 11:12:00 PM,1/20/2021 6:12:00 PM,,ella jane:nothing else i could do,4697,2.833333333,170000
2020,October,0,fanclubwallet,Car Crash in G Major,,10/22/2020 2:13:00 PM,10/22/2020 9:13:00 AM,,fanclubwallet:Car Crash in G Major,1899,2.2,132000
2020,December,0,fanclubwallet,Car Crash in G Major,,12/1/2020 8:42:00 PM,12/1/2020 3:42:00 PM,,fanclubwallet:Car Crash in G Major,3336,2.2,132000
2021,February,0,fanclubwallet,Car Crash in G Major,,2/3/2021 4:02:00 PM,2/3/2021 11:02:00 AM,,fanclubwallet:Car Crash in G Major,4943,2.2,132000
2021,March,0,fanclubwallet,Car Crash in G Major,,3/29/2021 4:17:00 PM,3/29/2021 11:17:00 AM,,fanclubwallet:Car Crash in G Major,7707,2.2,132000
2021,April,0,fanclubwallet,Car Crash in G Major,,4/25/2021 6:46:00 PM,4/25/2021 1:46:00 PM,,fanclubwallet:Car Crash in G Major,9055,2.2,132000
2021,February,0,fun.,All Alone,,2/26/2021 1:46:00 PM,2/26/2021 8:46:00 AM,,fun.:All Alone,5884,0.011733333,704
2021,February,0,fun.,All Alone,,2/23/2021 1:45:00 PM,2/23/2021 8:45:00 AM,,fun.:All Alone,5785,3.062883333,183773
2021,February,0,fun.,All Alone,,2/25/2021 1:24:00 PM,2/25/2021 8:24:00 AM,,fun.:All Alone,5824,3.062883333,183773
2021,February,0,fun.,All Alone,,2/26/2021 12:14:00 AM,2/25/2021 7:14:00 PM,,fun.:All Alone,5882,3.062883333,183773
2021,February,0,fun.,All Alright,,2/26/2021 12:53:00 AM,2/25/2021 7:53:00 PM,,fun.:All Alright,5883,2.427466667,145648
2021,February,0,fun.,All Alright,,2/23/2021 1:50:00 PM,2/23/2021 8:50:00 AM,,fun.:All Alright,5786,3.957766667,237466
2021,February,0,fun.,All Alright,,2/25/2021 1:28:00 PM,2/25/2021 8:28:00 AM,,fun.:All Alright,5825,3.957766667,237466
2021,February,0,fun.,Carry On,,2/25/2021 2:45:00 PM,2/25/2021 9:45:00 AM,,fun.:Carry On,5833,4.2749,256494
2021,February,0,fun.,Carry On,,2/23/2021 1:34:00 PM,2/23/2021 8:34:00 AM,,fun.:Carry On,5782,4.63955,278373
2021,February,0,fun.,Carry On,,2/25/2021 1:13:00 PM,2/25/2021 8:13:00 AM,,fun.:Carry On,5821,4.63955,278373
2021,February,0,fun.,Carry On,,2/26/2021 12:06:00 AM,2/25/2021 7:06:00 PM,,fun.:Carry On,5879,4.63955,278373
2021,February,0,fun.,It Gets Better,,2/26/2021 12:06:00 AM,2/25/2021 7:06:00 PM,,fun.:It Gets Better,5880,0.105716667,6343
2021,February,0,fun.,It Gets Better,,2/23/2021 1:37:00 PM,2/23/2021 8:37:00 AM,,fun.:It Gets Better,5783,3.602433333,216146
2021,February,0,fun.,It Gets Better,,2/25/2021 1:17:00 PM,2/25/2021 8:17:00 AM,,fun.:It Gets Better,5822,3.602433333,216146
2021,February,0,fun.,One Foot,,2/22/2021 11:18:00 PM,2/22/2021 6:18:00 PM,,fun.:One Foot,5772,3.532216667,211933
2021,February,0,fun.,One Foot,,2/23/2021 2:07:00 PM,2/23/2021 9:07:00 AM,,fun.:One Foot,5787,3.532216667,211933
2021,February,0,fun.,One Foot,,2/25/2021 1:32:00 PM,2/25/2021 8:32:00 AM,,fun.:One Foot,5826,3.532216667,211933
2021,February,0,fun.,Out on the Town - Bonus Track,,2/23/2021 1:02:00 PM,2/23/2021 8:02:00 AM,,fun.:Out on the Town - Bonus Track,5775,0.0576,3456
2021,February,0,fun.,Out on the Town - Bonus Track,,2/22/2021 11:28:00 PM,2/22/2021 6:28:00 PM,,fun.:Out on the Town - Bonus Track,5774,2.376533333,142592
2021,February,0,fun.,Out on the Town - Bonus Track,,2/23/2021 1:14:00 PM,2/23/2021 8:14:00 AM,,fun.:Out on the Town - Bonus Track,5777,4.3571,261426
2021,February,0,fun.,Out on the Town - Bonus Track,,2/23/2021 2:18:00 PM,2/23/2021 9:18:00 AM,,fun.:Out on the Town - Bonus Track,5789,4.3571,261426
2021,February,0,fun.,Out on the Town - Bonus Track,,2/25/2021 1:43:00 PM,2/25/2021 8:43:00 AM,,fun.:Out on the Town - Bonus Track,5828,4.3571,261426
2021,February,0,fun.,Some Nights,,2/23/2021 1:25:00 PM,2/23/2021 8:25:00 AM,,fun.:Some Nights,5780,4.617333333,277040
2021,February,0,fun.,Some Nights,,2/23/2021 2:30:00 PM,2/23/2021 9:30:00 AM,,fun.:Some Nights,5792,4.617333333,277040
2021,February,0,fun.,Some Nights,,2/25/2021 1:04:00 PM,2/25/2021 8:04:00 AM,,fun.:Some Nights,5819,4.617333333,277040
2021,February,0,fun.,Some Nights,,2/25/2021 1:55:00 PM,2/25/2021 8:55:00 AM,,fun.:Some Nights,5831,4.617333333,277040
2021,February,0,fun.,Some Nights,,2/25/2021 11:57:00 PM,2/25/2021 6:57:00 PM,,fun.:Some Nights,5877,4.617333333,277040
2021,February,0,fun.,Some Nights - Intro,,2/23/2021 1:20:00 PM,2/23/2021 8:20:00 AM,,fun.:Some Nights - Intro,5779,2.296,137760
2021,February,0,fun.,Some Nights - Intro,,2/23/2021 2:25:00 PM,2/23/2021 9:25:00 AM,,fun.:Some Nights - Intro,5791,2.296,137760
2021,February,0,fun.,Some Nights - Intro,,2/25/2021 12:59:00 PM,2/25/2021 7:59:00 AM,,fun.:Some Nights - Intro,5818,2.296,137760
2021,February,0,fun.,Some Nights - Intro,,2/25/2021 1:50:00 PM,2/25/2021 8:50:00 AM,,fun.:Some Nights - Intro,5830,2.296,137760
2021,February,0,fun.,Some Nights - Intro,,2/25/2021 11:53:00 PM,2/25/2021 6:53:00 PM,,fun.:Some Nights - Intro,5876,2.296,137760
2021,February,0,fun.,We Are Young (feat. Janelle Monáe),,2/23/2021 2:31:00 PM,2/23/2021 9:31:00 AM,,fun.:We Are Young (feat. Janelle Monáe),5793,0.960083333,57605
2021,February,0,fun.,We Are Young (feat. Janelle Monáe),,2/23/2021 1:29:00 PM,2/23/2021 8:29:00 AM,,fun.:We Are Young (feat. Janelle Monáe),5781,4.1771,250626
2021,February,0,fun.,We Are Young (feat. Janelle Monáe),,2/25/2021 1:08:00 PM,2/25/2021 8:08:00 AM,,fun.:We Are Young (feat. Janelle Monáe),5820,4.1771,250626
2021,February,0,fun.,We Are Young (feat. Janelle Monáe),,2/25/2021 1:59:00 PM,2/25/2021 8:59:00 AM,,fun.:We Are Young (feat. Janelle Monáe),5832,4.1771,250626
2021,February,0,fun.,We Are Young (feat. Janelle Monáe),,2/26/2021 12:01:00 AM,2/25/2021 7:01:00 PM,,fun.:We Are Young (feat. Janelle Monáe),5878,4.1771,250626
2021,February,0,fun.,We Are Young (feat. Janelle Monáe) - Acoustic [Acoustic],,2/23/2021 1:18:00 PM,2/23/2021 8:18:00 AM,,fun.:We Are Young (feat. Janelle Monáe) - Acoustic [Acoustic],5778,4.542433333,272546
2021,February,0,fun.,We Are Young (feat. Janelle Monáe) - Acoustic [Acoustic],,2/23/2021 2:23:00 PM,2/23/2021 9:23:00 AM,,fun.:We Are Young (feat. Janelle Monáe) - Acoustic [Acoustic],5790,4.542433333,272546
2021,February,0,fun.,We Are Young (feat. Janelle Monáe) - Acoustic [Acoustic],,2/25/2021 1:48:00 PM,2/25/2021 8:48:00 AM,,fun.:We Are Young (feat. Janelle Monáe) - Acoustic [Acoustic],5829,4.542433333,272546
2021,January,0,girl in red,two queens in a king sized bed,,1/3/2021 8:00:00 PM,1/3/2021 3:00:00 PM,,girl in red:two queens in a king sized bed,4189,3.1824,190944
2021,August,0,girl in red,we fell in love in october,,8/5/2021 10:31:00 AM,8/5/2021 5:31:00 AM,,girl in red:we fell in love in october,15086,3.069216667,184153
2020,November,0,illuminati hotties,I Wanna Dance With Somebody (Who Loves Me),,11/17/2020 9:14:00 PM,11/17/2020 4:14:00 PM,,illuminati hotties:I Wanna Dance With Somebody (Who Loves Me),2864,3.523383333,211403
2020,October,0,illuminati hotties,I Wanna Keep Yr Dog,,10/10/2020 8:46:00 PM,10/10/2020 3:46:00 PM,,illuminati hotties:I Wanna Keep Yr Dog,1549,2.982466667,178948
2021,May,0,iogi,delicate creature,,5/14/2021 2:14:00 PM,5/14/2021 9:14:00 AM,,iogi:delicate creature,9739,4.544883333,272693
2021,February,0,iogi,so sad,,2/24/2021 4:39:00 PM,2/24/2021 11:39:00 AM,,iogi:so sad,5804,4.463933333,267836
2021,March,0,iogi,so sad,,3/10/2021 7:55:00 PM,3/10/2021 2:55:00 PM,,iogi:so sad,6515,4.463933333,267836
2021,July,0,lovelytheband,broken,,7/31/2021 2:54:00 PM,7/31/2021 9:54:00 AM,,lovelytheband:broken,14470,0.191866667,11512
2021,January,0,renforshort,afterthoughts,,1/11/2021 5:17:00 PM,1/11/2021 12:17:00 PM,,renforshort:afterthoughts,4517,2.922016667,175321
2021,January,0,renforshort,afterthoughts,,1/12/2021 2:56:00 PM,1/12/2021 9:56:00 AM,,renforshort:afterthoughts,4561,2.922016667,175321
2021,January,0,renforshort,"fuck, i luv my friends",,1/20/2021 3:34:00 PM,1/20/2021 10:34:00 AM,,"renforshort:fuck, i luv my friends",4690,2.73085,163851
